SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000119,,,,,,1.44,371.30783166666663,388.9683216666666,375.876545
0000120,656.0,1.568,1.0,1.0,164.0,1.44,417.9482776000001,432.9473728,445.975384
0000121,597.0,0.495,1.0,1.0,99.5,1.44,448.8538514285714,464.73990476190477,459.50959904761913
0000122,942.0,1.037,,1.0,110.824,1.44,510.56538769230775,484.77243923076924,528.2091953846154
0000123,789.0,0.517,,0.906,87.667,1.44,412.2705755555556,391.3940822222222,400.63754518518516
0000124,939.0,0.995,1.0,1.0,104.333,1.44,492.610765925926,463.49713777777777,522.1959733333334
0000125,898.0,1.367,0.782,1.0,149.667,1.44,572.6134214814815,578.7134051851851,607.7327407407407
0000126,660.0,0.625,1.0,0.93,132.0,-0.43,407.3411884615385,428.5617438461538,416.1564253846153
0000127,1255.0,0.877,1.0,1.0,109.13,-0.43,518.5464976000001,529.7895911999999,538.3401672
0000128,1000.0,0.4,1.0,1.0,142.857,0.03,437.22264142857136,420.35771571428575,448.14434785714286
0000129,1249.0,0.723,1.0,1.0,138.778,1.44,490.4787828571428,509.80601428571424,514.7439666666666
0000130,1186.0,1.087,0.993,0.993,158.133,1.44,486.6129459259258,520.9611022222223,522.0060222222222
0000131,,,,,,-0.81,463.0705728000001,464.94401120000003,496.55352400000004
0000132,,,,,,-0.81,610.9860669565218,620.0133365217391,654.3478260869565
0000133,1272.0,0.597,1.0,1.0,133.895,1.44,520.696367,541.9135759999999,555.967926
0000134,795.0,1.053,,,132.5,0.03,535.4407866666668,554.787082962963,524.7171437037036
0000135,735.0,0.4,1.0,1.0,147.0,1.44,451.12296749999996,456.1624041666666,470.79603333333324
0000136,1266.0,0.995,1.0,1.0,180.857,1.44,473.3551444444444,450.5456711111112,516.2056
0000137,550.0,2.094,1.0,0.84,68.75,1.44,386.4044232,379.27714639999994,408.5042904
0000138,586.0,0.359,1.0,1.0,146.5,1.44,534.5258478571428,523.9869957142857,533.4636564285715
0000139,38.0,0.652,1.0,0.727,38.0,1.44,542.8389653333335,522.3644039999999,543.6217866666666
0000140,1499.0,0.932,1.0,1.0,,-0.43,483.24864538461543,495.87724230769237,502.76303384615386
0000141,1064.0,1.12,1.0,1.0,152.0,1.44,535.7550292307693,519.6584892307692,572.5167107692308
0000142,546.0,1.63,0.925,0.698,84.0,1.44,600.5069558333333,577.0210433333334,598.3020966666667
0000143,1665.0,1.04,1.0,1.0,158.571,0.03,493.3338536000001,456.27612880000004,477.01976720000005
0000144,1314.0,1.224,,0.957,125.143,0.03,504.3503671428572,489.75731428571436,511.74334571428574
0000145,568.0,2.381,1.0,1.0,113.6,1.44,463.0569366666667,486.0063725,473.78776666666664
0000146,757.0,2.459,,1.0,126.167,-0.67,531.9247549999999,522.324206875,539.9332131250001
0000147,1361.0,1.157,0.978,0.972,118.348,1.44,507.1711281481481,546.5968903703704,522.1165444444445
0000148,502.0,1.343,1.0,1.0,100.4,-0.67,420.6371704,454.74331199999995,430.91384159999996
0000149,491.0,0.762,1.0,1.0,140.286,-0.43,540.7517864285716,567.3626407142857,596.6963307142858
0000150,979.0,0.707,1.0,1.0,115.176,-0.67,462.2832446153846,454.94975846153847,467.47195
0000151,408.0,0.741,1.0,1.0,90.667,1.44,504.64679407407414,513.1884185185185,514.8845792592592
0000152,1191.0,0.882,1.0,1.0,170.143,1.44,491.2243399999999,529.4658438095239,511.7822038095239
0000153,750.0,0.54,1.0,1.0,83.333,1.44,538.7272184000001,491.32387200000005,512.5512864
0000154,971.0,1.411,0.926,1.0,121.375,0.03,464.46746600000006,479.81753266666664,464.2888233333333
0000155,945.0,0.92,0.508,1.0,90.0,0.03,467.3484984,473.6833216,480.0149184
0000156,1101.0,1.15,1.0,1.0,122.333,1.44,454.094096,481.6653135999999,490.1641152
0000157,1474.0,0.233,1.0,1.0,147.4,1.44,476.5868042857143,487.7646642857143,483.8686264285714
0000158,670.0,1.163,1.0,1.0,167.5,1.44,411.88286,412.9431730434782,427.65191304347826
0000159,857.0,0.733,1.0,1.0,131.846,1.44,513.7051146153847,501.1042438461538,535.3355484615385
0000160,806.0,0.981,1.0,1.0,107.467,1.44,450.32455416666664,460.79683750000004,490.80567083333347
0000161,1606.0,1.751,0.981,0.972,118.963,1.44,516.2576238461537,521.2577984615384,537.6882953846155
0000162,1223.0,0.403,1.0,1.0,163.067,1.44,564.248648275862,598.9185268965517,609.6303468965517
0000163,540.0,0.536,1.0,1.0,108.0,1.44,441.17768173913043,444.5916591304348,451.15871652173917
0000164,1855.0,1.115,,1.0,148.4,1.44,491.72923920000005,488.6897016,517.1167504
0000165,804.0,0.347,0.964,0.964,160.8,1.44,454.1035872727272,469.5860718181818,510.2988981818182
0000166,1165.0,1.614,1.0,1.0,155.333,1.44,481.7588416,506.5900680000001,539.548676
0000167,1102.0,0.809,0.992,0.985,137.75,1.44,559.72114,556.5089215999999,576.4751960000001
0000168,1509.0,0.847,1.0,1.0,94.313,1.44,602.0410709677419,606.5355038709678,617.0404703225806
0000169,878.0,0.845,1.0,1.0,125.429,1.44,444.7912782608696,445.3762652173913,464.7000626086957
0000170,1273.0,0.547,1.0,1.0,212.167,1.44,582.7338437037038,581.1215925925925,610.1641200000001
0000171,1549.0,1.264,,,163.053,1.44,467.4326232,498.9771504,479.98508000000004
0000172,756.0,0.436,1.0,1.0,126.0,1.44,460.98901307692313,479.87018153846157,503.91788230769237
0000173,1299.0,0.858,0.943,0.949,162.375,1.44,483.2965807692308,502.0697161538462,506.79783384615394
0000174,907.0,1.161,1.0,1.0,151.167,1.44,478.21701583333333,470.0665816666666,511.2154949999999
0000175,1216.0,1.142,0.964,0.964,202.667,1.44,399.40333840000005,436.95076159999996,409.3397984
