SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000205,796.0,0.858,1.0,1.0,159.2,1.44,491.34859933333337,513.8074066666667,492.1298006666667
0000206,845.0,0.927,1.0,1.0,120.714,-0.67,517.5027240000001,480.5032456,517.2995168
0000207,1177.0,1.909,1.0,1.0,156.933,1.44,428.8315944,409.2978496,428.91085360000005
0000208,1199.0,0.545,0.014,0.014,184.462,1.44,555.4710244444443,527.2784496296297,594.7469792592594
0000209,1080.0,0.692,1.0,1.0,166.154,-0.43,588.7365673333334,609.2604186666666,608.4452299999999
0000210,,,,,,-0.81,534.61858,496.98792000000003,529.5544283333332
0000211,500.0,0.569,,,125.0,1.44,453.61232083333334,460.7606599999999,473.36426
0000212,1111.0,0.453,1.0,0.926,123.444,1.44,491.19424962962967,494.870657037037,537.7236222222222
0000213,427.0,0.815,1.0,1.0,142.333,1.44,477.5311148148148,486.8775896296296,471.77600888888884
0000214,990.0,0.429,0.014,0.014,132.0,1.44,525.4824330434783,508.8108765217392,547.5576939130435
0000215,863.0,0.455,1.0,1.0,156.909,1.44,445.81393407407404,488.33092148148154,480.19948444444447
0000216,172.0,0.698,1.0,1.0,43.0,1.44,438.0303296296296,427.26612740740745,444.6095281481481
0000217,1117.0,1.205,1.0,1.0,111.7,0.03,516.6659214285714,521.595085,526.6798078571429
0000218,1500.0,,1.0,0.99,157.895,0.03,428.83768181818175,429.5469118181818,464.96304181818175
0000219,785.0,1.667,1.0,1.0,157.0,1.44,527.4201552000002,548.3189056000001,549.6493831999999
0000220,585.0,0.699,1.0,1.0,117.0,1.44,382.2730704347826,375.0842921739131,375.639364347826
0000221,,1.152,,,,0.03,493.339525,506.7496892857142,514.580785
0000222,,,,,,-0.81,496.4178999999999,476.54029652173915,530.2336904347826
0000223,1672.0,0.77,1.0,1.0,167.2,0.03,509.44447407407415,542.2415903703703,520.2964651851851
0000224,822.0,1.696,0.954,1.0,,-0.25,542.6762533333333,552.2734555555555,550.8613474074073
0000225,804.0,3.373,0.957,0.957,146.182,1.44,402.8130749999999,438.50851714285716,428.9151164285714
0000226,,,,,,-0.81,480.09872074074076,471.51832888888885,482.4823525925925
0000227,1381.0,0.647,,,230.167,1.44,576.0320881818182,561.3306281818183,597.0202754545454
0000228,1007.0,1.699,1.0,1.0,111.889,1.44,582.4338037037038,574.9319874074074,611.5662985185186
0000229,717.0,0.599,,1.0,143.4,1.44,455.23385538461537,476.0902253846154,461.30677923076917
0000230,1407.0,1.084,1.0,1.0,140.7,-0.43,567.5776238461538,559.79905,548.2038853846154
0000231,1359.0,1.051,1.0,1.0,135.9,1.44,483.49821099999997,489.989148,491.57030799999984
0000232,718.0,1.677,1.0,0.986,143.6,1.44,567.7570282352942,597.4644211764705,608.167494117647
0000233,1000.0,1.768,1.0,0.876,117.647,0.03,522.9085511999999,545.7516512,525.0801952
0000234,892.0,0.912,1.0,1.0,178.4,1.44,507.39656380952385,549.2731733333334,523.1407952380953
0000235,1462.0,1.09,1.0,1.0,172.0,-0.25,530.3396088,540.4679008,563.5956776
0000236,1374.0,0.719,1.0,0.987,161.647,1.44,479.6954984615384,515.970793076923,507.4147146153846
0000237,1181.0,0.97,1.0,1.0,157.467,1.44,466.08859818181816,500.52239999999995,498.88017090909096
0000238,574.0,1.606,1.0,1.0,95.667,-0.43,454.6736238461539,481.4279984615385,488.06917846153846
0000239,388.0,0.625,1.0,1.0,129.333,1.44,387.4610558333334,431.8339491666667,406.9439241666666
0000240,1068.0,0.818,,,133.5,1.44,520.0186960000001,517.787885,556.643973
0000241,1095.0,0.548,1.0,0.985,109.5,0.03,445.4237483333333,477.6283433333333,475.0505091666667
0000242,422.0,1.887,1.0,1.0,,1.44,567.3209766666666,586.4220775000001,564.7325358333334
0000243,1853.0,0.588,1.0,1.0,148.24,0.03,506.44600846153844,504.68816076923076,550.7000807692308
0000244,672.0,1.515,0.0,0.0,134.4,1.44,445.69091360000004,457.9666064,467.9261464
0000245,,,,,,-0.81,441.94998230769244,416.80940461538455,448.5388661538462
0000246,1002.0,1.01,1.0,1.0,167.0,1.44,538.9630121428572,568.0065992857142,571.8288757142857
0000247,905.0,,,,164.545,1.44,450.4074438461538,471.39171230769233,469.4230069230769
0000248,738.0,0.502,,,147.6,1.44,467.22074719999983,461.45650959999995,499.7239896000001
0000249,,,,,,1.44,490.62483499999996,480.8433133333333,522.4131233333334
0000250,,1.081,,,,1.44,437.9123081818181,442.78890909090904,447.4365090909091
0000251,578.0,0.696,1.0,1.0,115.6,0.03,448.4888639999999,470.23950320000006,486.3819487999999
0000252,824.0,0.357,1.0,1.0,126.769,1.44,558.3844848,571.8961160000001,565.2443112
0000253,1100.0,0.568,1.0,1.0,110.0,0.03,544.0344521428572,560.2259592857142,568.675067857143
0000254,623.0,1.701,1.0,1.0,113.273,-0.25,462.20594733333326,455.07471866666674,479.6686553333334
0000255,340.0,,,,113.333,1.44,495.61458159999995,471.235996,489.2092496
0000256,490.0,0.324,1.0,1.0,122.5,1.44,477.5166888888888,533.9278548148147,535.7205014814815
0000257,1079.0,0.934,1.0,1.0,119.889,1.44,479.3042775,450.7684358333333,487.67017999999996
0000258,729.0,0.785,1.0,1.0,132.545,-0.43,560.7009314285715,549.6062621428571,561.6814099999999
0000259,1337.0,0.502,1.0,1.0,121.545,-0.81,489.69660916666663,499.24538083333334,501.31169666666665
0000260,1450.0,0.697,1.0,1.0,138.095,1.44,416.51542000000006,401.5144733333334,393.5627241666666
0000261,1321.0,1.514,0.963,0.939,146.778,1.44,472.33992666666666,488.39105066666673,509.52070000000003
0000262,1684.0,1.126,1.0,1.0,134.72,1.44,455.7319055172414,466.8914668965517,476.62863724137924
0000263,1179.0,1.105,0.984,0.984,84.214,0.03,459.71168642857145,469.2241228571429,484.27492357142864
0000264,861.0,0.732,1.0,1.0,143.5,1.44,566.6531096296296,579.8444444444444,573.1167192592592
0000265,1326.0,0.844,,,120.545,1.44,505.17274692307694,515.8436646153847,526.1039192307692
0000266,824.0,1.648,1.0,1.0,164.8,0.03,400.23266608695656,449.20230434782604,432.47246869565214
0000267,1001.0,0.615,1.0,1.0,143.0,1.44,457.14545666666675,468.2522506666666,468.5036666666667
0000268,1028.0,0.24,1.0,1.0,158.154,-0.43,464.92264153846156,477.5735061538461,486.40863384615386
0000269,674.0,,1.0,1.0,122.545,1.44,426.3283572413794,444.99945931034483,460.9982131034482
0000270,703.0,1.174,1.0,1.0,127.818,1.44,447.4749458333334,462.6581416666666,486.1743091666667
0000271,981.0,1.272,1.0,0.938,98.1,-0.67,511.83517760000007,516.4402895999999,541.3577
0000272,,,,,,-0.81,500.29710785714286,489.4088221428571,493.5431835714285
0000273,1271.0,0.69,1.0,0.975,133.789,1.44,535.6052372727273,546.3603536363637,547.3780127272727
0000274,516.0,0.427,1.0,1.0,114.667,1.44,438.83198416666676,503.5895541666667,478.45797416666665
0000275,1710.0,1.711,,,142.5,-0.43,484.6284440000001,484.8398768,507.70608000000004
