SCHOOLID,ST04Q01,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,ST93Q01,ST93Q03,ST93Q04,ST93Q06,ST93Q07,maths,read,scie
3,Female,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Very much like me,Very much like me,Very much like me,Not much like me,Not much like me,403.34164,454.66706000000005,436.72136
3,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Very much like me,Mostly like me,Very much like me,Very much like me,Very much like me,385.73765999999995,447.9154199999999,405.85604
3,Female,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,,,,,,382.31034,446.40622,431.5926799999999
3,Female,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Not much like me,Somewhat like me,Mostly like me,Very much like me,Very much like me,417.98567999999995,509.47447999999997,473.74114
3,Female,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,,,,,,374.28725999999995,491.6024799999999,432.05894
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Not much like me,Somewhat like me,Mostly like me,600.0233599999999,673.34064,673.5733
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Not much like me,Mostly like me,Very much like me,Somewhat like me,511.45817999999997,568.88884,545.26296
3,Female,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,,,,,,424.76242,507.4887,452.20065999999997
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Very much like me,Mostly like me,577.04472,666.033,652.0328000000001
3,Male,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,366.4979,400.31274,430.10069999999996
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Very much like me,Mostly like me,Somewhat like me,Not much like me,409.10578,482.15018,444.74074
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Very much like me,Mostly like me,543.7062,607.65118,595.7105399999999
3,Female,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not much like me,Not much like me,Very much like me,Very much like me,Very much like me,464.95558,489.93444,510.48117999999994
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Very much like me,Mostly like me,524.3885400000001,616.62688,582.00298
3,Female,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,,,,,,450.07788,526.07554,494.62888000000004
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Mostly like me,358.47484,451.88696,392.05519999999996
3,Female,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,344.60978,417.1755999999999,352.42446
4,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Not much like me,Not at all like me,Mostly like me,Somewhat like me,Somewhat like me,589.8971799999999,582.94816,591.51434
4,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,,,,,,616.30316,611.1461400000001,615.38604
4,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Not much like me,Not much like me,Mostly like me,590.8319,637.51726,643.2674199999999
4,Female,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,,,,,,594.6487,573.893,613.4278400000001
4,Female,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Not much like me,Not much like me,Somewhat like me,Mostly like me,Very much like me,471.49868,456.73226000000005,482.8795
4,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Mostly like me,543.08302,569.6831599999999,581.8164599999999
4,Female,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Mostly like me,Very much like me,Very much like me,Very much like me,Mostly like me,691.78222,701.06204,738.38122
4,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,569.4111,576.9907999999999,593.93884
4,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Mostly like me,Mostly like me,Very much like me,Not at all like me,533.65788,553.7175199999999,536.49758
4,Female,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,,,,,,479.98909999999995,495.7329,528.6646800000001
4,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,630.09038,647.44614,660.70494
4,Female,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Not at all like me,Not much like me,Very much like me,Very much like me,Mostly like me,696.61162,678.9008200000001,699.12346
