SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,SC25Q05,SC34Q15,SC27Q02,SC16Q05,SC39Q07,maths,read,scie,ST88Q01math,ST88Q01read,ST88Q01scie,ST88Q02math,ST88Q02read,ST88Q02scie,ST88Q03math,ST88Q03read,ST88Q03scie,ST88Q04math,ST88Q04read,ST88Q04scie,ST89Q02math,ST89Q02read,ST89Q02scie,ST89Q03math,ST89Q03read,ST89Q03scie,ST89Q04math,ST89Q04read,ST89Q04scie,ST89Q05math,ST89Q05read,ST89Q05scie,option
0000139,38.0,0.652,1.0,0.727,38.0,1.44,0.0,2.0,1.0,1.0,2.0,542.8389653333334,522.3644039999999,543.6217866666666,538.000465,518.1509750000001,536.590825,520.31209,497.80989666666676,516.7443666666667,548.61348,561.4235000000001,590.2088799999999,654.4711199999999,659.99622,697.818,526.88113,486.76241,521.85751,505.14878,412.10132000000004,453.50613999999996,0,0,0,548.61348,561.4235000000001,590.2088799999999,Disagree
0000139,38.0,0.652,1.0,0.727,38.0,1.44,0.0,2.0,1.0,1.0,2.0,542.8389653333334,522.3644039999999,543.6217866666666,0,0,0,586.2167,572.1633749999999,597.738735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000140,1499.0,0.932,1.0,1.0,,-0.43,0.0,6.0,3.0,1.0,1.0,482.8407974948964,495.87679902552145,502.31118733903656,0,0,0,0,0,0,489.1561041602207,504.0735175892316,514.3735864958937,513.6836421941355,533.1011465237476,551.6539853197601,481.41755577583945,489.1264510536902,499.7825871504022,477.6438528763786,488.2082252743404,496.22725571683895,484.1090443382165,487.2791265762012,500.0280770151261,482.1670745621612,489.1298944085228,500.5037307616805,Strongly Agree
0000140,1499.0,0.932,1.0,1.0,,-0.43,0.0,6.0,3.0,1.0,1.0,482.8407974948964,495.87679902552145,502.31118733903656,505.7577076761278,499.8480083716321,514.8243887250028,0,0,0,472.11902059296347,472.4004180574276,479.2714611368071,479.2487335332394,483.418811827322,493.06426394428365,515.4615547454332,544.8621485637093,562.5179668086847,536.5139933333332,528.81106,564.1613733333334,501.9148407127268,521.1641608676723,535.2496450630595,502.68032726386446,510.3419842195047,527.2065205481504,Agree
0000140,1499.0,0.932,1.0,1.0,,-0.43,0.0,6.0,3.0,1.0,1.0,482.8407974948964,495.87679902552145,502.31118733903656,487.3395087604398,487.9914836054405,500.57950862750505,494.720963995216,492.7432189516753,506.28842431713156,512.587615,518.41919,545.1930199999999,467.1366,456.97014,471.82955000000004,493.46471999999994,426.6967000000001,455.37114,0,0,0,0,0,0,0,0,0,Disagree
0000140,1499.0,0.932,1.0,1.0,,-0.43,0.0,6.0,3.0,1.0,1.0,482.8407974948964,495.87679902552145,502.31118733903656,478.38200080229683,500.6514143243752,512.9709674940575,478.38200080229683,500.6514143243752,512.9709674940575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000141,1064.0,1.12,1.0,1.0,152.0,1.44,0.0,3.0,4.0,2.0,2.0,537.3211864615516,520.46053218463,574.0329747454566,0,0,0,0,0,0,486.645085855865,472.25482013402086,511.88704507712265,494.27687802096,476.29409701862335,527.5859442546468,549.396069943302,532.4851268107531,581.9060237569628,560.6878887648796,532.9275100882968,588.2115615051342,536.0100602907825,509.73796500689133,571.4273676126118,525.061476556241,505.3451573235335,561.8039682278859,Strongly Agree
0000141,1064.0,1.12,1.0,1.0,152.0,1.44,0.0,3.0,4.0,2.0,2.0,537.3211864615516,520.46053218463,574.0329747454566,609.3937360864328,590.1502004674282,631.7596446074606,0,0,0,542.9514494876056,520.7550871569958,578.0207874295169,541.0095483071349,519.7272975656686,574.0262196811502,504.99756666661216,475.6587495946702,534.5405736646281,516.8027161087159,501.18237446998467,551.7531315328553,534.4618318409375,522.7676983308083,566.2964234310787,541.3571587928949,522.6583128807448,573.1514369316408,Agree
0000141,1064.0,1.12,1.0,1.0,152.0,1.44,0.0,3.0,4.0,2.0,2.0,537.3211864615516,520.46053218463,574.0329747454566,532.4679903739766,511.1012497132112,565.411374258266,537.8782139939063,516.7242937851688,568.7518289091252,594.33714,599.62866,637.11302,594.33714,599.62866,637.11302,569.3932438601529,572.4102803473008,619.9232733201251,0,0,0,0,0,0,0,0,0,Disagree
0000141,1064.0,1.12,1.0,1.0,152.0,1.44,0.0,3.0,4.0,2.0,2.0,537.3211864615516,520.46053218463,574.0329747454566,513.9044928663333,498.02457127458973,552.3556476751735,532.6143419143929,515.6074653084121,569.0404434263402,0,0,0,0,0,0,0,0,0,546.9777200000001,547.95082,604.4759200000001,0,0,0,0,0,0,Strongly Disagree
0000142,546.0,1.63,0.925,0.698,84.0,1.44,0.0,2.0,2.0,2.0,1.0,600.9537849948568,578.3902646432291,599.2780409599659,0,0,0,0,0,0,610.2986082442065,581.9274541636765,608.6676731121232,597.801309005936,578.7735483595088,592.8429650595833,617.0876366476461,594.698761598598,607.6120959417688,628.4782941651899,607.5476032697457,621.0116417572124,615.469598261022,590.027846930182,605.6956468565857,634.4760842415046,613.5250683502285,624.2158085878839,Strongly Agree
0000142,546.0,1.63,0.925,0.698,84.0,1.44,0.0,2.0,2.0,2.0,1.0,600.9537849948568,578.3902646432291,599.2780409599659,542.3040800000001,484.51696000000004,541.906,0,0,0,600.7891961177613,583.095199088463,594.9054797331861,622.8976284888556,597.4510652716292,616.688352192619,587.3145641762974,565.1521260437542,586.9281664651319,556.9048367264274,534.8585302174848,558.0982314167486,574.7911064449727,563.5558213579249,583.3087030758962,567.631443277047,545.8853991880626,569.94472888939,Agree
0000142,546.0,1.63,0.925,0.698,84.0,1.44,0.0,2.0,2.0,2.0,1.0,600.9537849948568,578.3902646432291,599.2780409599659,588.0018105833535,575.5690587637652,587.0746295741797,585.4216773320243,565.9116532222446,585.3547134860579,592.3119,577.2218,584.98694,496.1130999999999,489.40883999999994,509.82842,593.3245,588.2886599999999,607.2734,0,0,0,0,0,0,0,0,0,Disagree
0000142,546.0,1.63,0.925,0.698,84.0,1.44,0.0,2.0,2.0,2.0,1.0,600.9537849948568,578.3902646432291,599.2780409599659,649.4022096214512,615.6756564019013,636.4679065627611,629.0535873671864,605.2195268289431,618.4681959850025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
