SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,ave,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie,schoolave
3,152.051,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,374.28725999999995,491.6024799999999,432.05894,432.64956,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,424.76242,507.4887,452.20065999999997,461.4839266666666,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,117.8203,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,366.4979,400.31274,430.10069999999996,398.9704466666667,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,464.95558,489.93444,510.48117999999994,488.45706666666666,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,450.07788,526.07554,494.62888000000004,490.2607666666667,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,344.60978,417.1755999999999,352.42446,371.40328,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
4,138.5522,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,589.8971799999999,582.94816,591.51434,588.1198933333333,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,560.6932535999999,575.5229287999999,592.290188,576.1687901333333
4,138.5522,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,616.30316,611.1461400000001,615.38604,614.2784466666667,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,560.6932535999999,575.5229287999999,592.290188,576.1687901333333
4,138.5522,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,594.6487,573.893,613.4278400000001,593.9898466666667,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,560.6932535999999,575.5229287999999,592.290188,576.1687901333333
4,138.5522,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,471.49868,456.73226000000005,482.8795,470.37014666666664,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,560.6932535999999,575.5229287999999,592.290188,576.1687901333333
